"release_id","timestamp","phase","env","change_type","version","operator_agent","result","rollback_version","impact_scope","evidence_path","remark"
"RL-0001","2026-03-26 22:50:00","M1","dev","ci_config","v0.1.0","Ops-Agent","SUCCESS","","CI Pipeline","execution/03_M1启动批次任务板.csv","完成M1启动批次流水线初始化"
"RL-0002","2026-03-26 23:55:00","M1","project_docs","doc_release","m1-baseline-v1.1","PM-Agent","SUCCESS","","M1文档基线","execution/m1/M1_评审记录_2026-03-26_第2轮.md","G1-1~G1-4全部进入Done并发布"
"RL-0003","2026-03-27 00:11:00","M1","project_docs","cicd_baseline","m1-cicd-v1.0","Ops-Agent","SUCCESS","","CI/CD baseline and artifacts","execution/m1/M1_评审记录_2026-03-26_第3轮.md","O1-1完成并发布"
"RL-0004","2026-03-27 00:30:00","M2","test","data_ingest_baseline","m2-d1-1-v1.0","Data-Agent","SUCCESS","","D1-1 ingest scaffold","execution/m2/D1-1_验证记录_2026-03-27.md","D1-1完成并通过评审"
"RL-0005","2026-03-27 00:43:00","M2","test","data_governance_baseline","m2-d1-2-v1.0","Data-Agent","SUCCESS","","D1-2 governance pipeline","execution/m2/D1-2_验证记录_2026-03-27.md","D1-2完成并通过评审"
"RL-0006","2026-03-27 00:54:00","M2","test","governance_rule_fix","m2-d1-2-v1.1","Data-Agent","SUCCESS","m2-d1-2-v1.0","D1-2 normal/demo output split and delay rule","execution/m2/D1-2_验证记录_2026-03-27.md","修复event delay误报并保留demo样本"
"RL-0007","2026-03-27 00:58:00","M2","test","alignment_baseline","m2-d1-3-v1.0","Data-Agent","SUCCESS","","D1-3 alignment pipeline","execution/m2/D1-3_验证记录_2026-03-27.md","D1-3完成并通过评审"
"RL-0008","2026-03-27 08:13:00","M2","test","feature_engineering_baseline","m2-d1-4-v1.0","Data-Agent","SUCCESS","","D1-4 feature pipeline","execution/m2/D1-4_验证记录_2026-03-27.md","D1-4完成并通过评审"
"RL-0009","2026-03-27 08:24:00","M2","test","quality_monitoring_baseline","m2-d1-5-v1.0","Data-Agent","SUCCESS","","D1-5 quality monitoring and scoring dashboard","execution/m2/D1-5_验证记录_2026-03-27.md","D1-5完成并通过评审"
"RL-0010","2026-03-27 09:11:00","M2","test","baseline_model_release","m2-a1-1-v1.0","Algo-Agent","SUCCESS","","A1-1 baseline model artifacts","execution/m2/A1-1_验证记录_2026-03-27.md","A1-1完成并通过评审"
"RL-0011","2026-03-27 09:12:00","M2","test","core_api_release","m2-b1-1-v1.0","Backend-Agent","SUCCESS","","B1-1 core APIs and OpenAPI","execution/m2/B1-1_验证记录_2026-03-27.md","B1-1完成并通过评审"
"RL-0012","2026-03-27 09:28:00","M2","test","auth_rbac_release","m2-b1-2-v1.0","Backend-Agent","SUCCESS","","B1-2 auth and RBAC","execution/m2/B1-2_验证记录_2026-03-27.md","B1-2完成并通过评审"
"RL-0013","2026-03-27 10:10:00","M2","test","frontend_shell_release","m2-f1-1-v1.0","Frontend-Agent","SUCCESS","","F1-1 page shell and charts","execution/m2/F1-1_验证记录_2026-03-27.md","F1-1完成并通过评审"
"RL-0014","2026-03-27 10:15:00","M2","test","webgis_layer_release","m2-f1-2-v1.0","Frontend-Agent","SUCCESS","","F1-2 webgis layers","execution/m2/F1-2_验证记录_2026-03-27.md","F1-2完成并通过评审"
"RL-0015","2026-03-27 10:25:00","M2","dev/test/prod","env_deploy_release","m2-o1-2-v1.0","Ops-Agent","SUCCESS","","O1-2 multi-env scripts and templates","execution/m2/O1-2_验证记录_2026-03-27.md","O1-2三环境deploy+smoke通过"
"RL-0016","2026-03-27 11:10:00","M3","test","deep_model_release","m3-a1-2-v1.0","Algo-Agent","SUCCESS","","A1-2 deep model artifacts","execution/m3/A1-2_验证记录_2026-03-27.md","A1-2完成并通过评审"
"RL-0017","2026-03-27 11:24:00","M3","test","cache_async_release","m3-b1-3-v1.0","Backend-Agent","SUCCESS","","B1-3 cache and async task APIs","execution/m3/B1-3_验证记录_2026-03-27.md","B1-3完成并通过评审"
"RL-0018","2026-03-27 12:06:00","M3","test","advanced_charts_release","m3-f1-3-v1.0","Frontend-Agent","SUCCESS","","F1-3 advanced charts","execution/m3/F1-3_验证记录_2026-03-27.md","F1-3完成并通过评审"
"RL-0019","2026-03-27 12:13:00","M3","test","linkage_release","m3-f1-4-v1.0","Frontend-Agent","SUCCESS","","F1-4 map-chart-filter linkage","execution/m3/F1-4_验证记录_2026-03-27.md","F1-4完成并通过评审"
"RL-0020","2026-03-27 13:09:00","M3","test","export_capability_release","m3-f1-5-v1.0","Frontend-Agent","SUCCESS","","F1-5 export center and download features","execution/m3/F1-5_验证记录_2026-03-27.md","F1-5完成并通过评审"
"RL-0021","2026-03-27 13:15:00","M3","project_docs","test_plan_baseline_release","m3-t1-1-v1.0","Test-Agent","SUCCESS","","T1-1 test plan and baseline","execution/m3/T1-1_验证记录_2026-03-27.md","T1-1完成并通过评审"
"RL-0022","2026-03-27 13:30:00","M3","test","api_automation_release","m3-t1-2-v1.0","Test-Agent","SUCCESS","","T1-2 API automation suite","execution/m3/T1-2_验证记录_2026-03-27.md","T1-2完成并通过评审"
"RL-0023","2026-03-27 13:38:00","M3","project_docs","openapi_doc_baseline_release","m3-c1-1-v1.0","Doc-Agent","SUCCESS","","C1-1 OpenAPI baseline docs","execution/m3/C1-1_验证记录_2026-03-27.md","C1-1完成并通过评审"
"RL-0024","2026-03-27 14:41:00","M3","test","frontend_e2e_release","m3-t1-3-v1.0","Test-Agent","SUCCESS","","T1-3 frontend e2e automation","execution/m3/T1-3_验证记录_2026-03-27.md","T1-3完成并通过评审"
"RL-0025","2026-03-27 14:53:00","M3","project_docs","data_dictionary_model_card_release","m3-c1-2-v1.0","Doc-Agent","SUCCESS","","C1-2 data dictionary and model card","execution/m3/C1-2_验证记录_2026-03-27.md","C1-2完成并通过评审"
"RL-0026","2026-03-27 15:09:00","M4","test","performance_baseline_release","m4-t1-4-v1.0","Test-Agent","SUCCESS","","T1-4 performance baseline for API and map cache","execution/m4/T1-4_验证记录_2026-03-27.md","T1-4完成并通过评审"
"RL-0027","2026-03-27 15:27:00","M4","test","quality_gate_regression_release","m4-t1-5-v1.0","Test-Agent","SUCCESS","","T1-5 regression and quality gate aggregate","execution/m4/T1-5_验证记录_2026-03-27.md","T1-5完成并通过评审"
"RL-0028","2026-03-27 15:43:00","M4","dev","monitoring_alert_release","m4-o1-3-v1.0","Ops-Agent","SUCCESS","","O1-3 monitoring and alert baseline","execution/m4/O1-3_验证记录_2026-03-27.md","O1-3完成并通过评审"
"RL-0029","2026-03-27 15:54:00","M4","dev","gray_release_rollback_drill","m4-o1-4-v1.0","Ops-Agent","SUCCESS","","Gray release and rollback procedure","execution/m4/O1-4_验证记录_2026-03-27.md","O1-4演练通过并完成评审"
"RL-0030","2026-03-27 16:06:00","M4","dev","runbook_incident_plan_release","m4-o1-5-v1.0","Ops-Agent","SUCCESS","","Runbook and incident response drill","execution/m4/O1-5_验证记录_2026-03-27.md","O1-5一体化演练通过，MTTR达标"
"RL-0031","2026-03-27 16:26:00","M4","test","scheduler_api_release","m4-b1-4-v1.0","Backend-Agent","SUCCESS","","Model retrain/publish/health scheduling APIs","execution/m4/B1-4_验证记录_2026-03-27.md","B1-4完成并通过评审"
"RL-0032","2026-03-27 16:51:00","M4","test","audit_error_spec_release","m4-b1-5-v1.0","Backend-Agent","SUCCESS","","Audit middleware and unified error code envelope","execution/m4/B1-5_验证记录_2026-03-27.md","B1-5完成并通过评审"
"RL-0033","2026-03-27 17:11:00","M4","test","model_version_rollback_release","m4-a1-6-v1.0","Algo-Agent","SUCCESS","","Model version registry and rollback APIs","execution/m4/A1-6_验证记录_2026-03-27.md","A1-6完成并通过评审"
"RL-0034","2026-03-27 17:31:00","M5","project_docs","m5_kickoff_release","m5-kickoff-v1.0","PM-Agent","SUCCESS","","M4 close summary and M5 kickoff docs/board","execution/m5/M5_评审记录_2026-03-27_第1轮.md","M5正式启动，C1-3进入In Progress"
"RL-0035","2026-03-27 17:57:00","M5","project_docs","user_ops_manual_release","m5-c1-3-v1.0","Doc-Agent","SUCCESS","","User manual and operations manual with training outline","execution/m5/C1-3_验证记录_2026-03-27.md","C1-3完成并通过评审"
"RL-0036","2026-03-27 18:22:00","M5","project_docs","acceptance_retrospective_release","m5-c1-4-v1.0","Doc-Agent","SUCCESS","","Acceptance report and project retrospective","execution/m5/C1-4_验证记录_2026-03-27.md","C1-4完成并通过评审"
"RL-0037","2026-03-27 18:47:00","M5","project_docs","uat_report_release","m5-uat-v1.0","PM-Agent","SUCCESS","","UAT acceptance report and sign-off flow baseline","execution/m5/M5-UAT_验证记录_2026-03-27.md","M5-UAT完成并通过评审"
"RL-0038","2026-03-27 19:12:00","M5","project_docs","release_note_manifest_release","m5-rel-v1.0","PM-Agent","SUCCESS","","Release note and release manifest for production window","execution/m5/M5-REL_验证记录_2026-03-27.md","M5-REL完成并通过评审"
"RL-0039","2026-03-27 19:46:00","FINAL","project_docs","final_archive_release","final-v1.0","PM-Agent","SUCCESS","","Project Archive and Final Acceptance Bundle","execution/final/final_verification_record_2026-03-27.md","完成最终验收归档与签字页发布"
"RL-0040","2026-03-27 20:07:00","M2","project_docs","m2_db_schema_release","m2-db-v1.0","Data-Agent","SUCCESS","","Core database schema DDL and partition/index strategy","execution/m2/M2_核心数据库表结构_验证记录_2026-03-27.md","M2核心库表结构完成并通过评审"
"RL-0041","2026-03-27 20:22:00","M3","test","a1_3_stgnn_release","m3-a1-3-v1.0","Algo-Agent","SUCCESS","","STGNN proxy training and validation artifacts","execution/m3/A1-3_验证记录_2026-03-27.md","A1-3完成并通过评审"
"RL-0042","2026-03-27 20:32:00","M3","test","a1_4_rules_release","m3-a1-4-v1.0","Algo-Agent","SUCCESS","","Congestion rule calibration and evaluation artifacts","execution/m3/A1-4_验证记录_2026-03-27.md","A1-4完成并通过评审"
"RL-0043","2026-03-27 20:42:00","M3","test","a1_5_attribution_release","m3-a1-5-v1.0","Algo-Agent","SUCCESS","","Attribution (SHAP-like + rule explanation) artifacts","execution/m3/A1-5_验证记录_2026-03-27.md","A1-5完成并通过评审"
"RL-0044","2026-03-27 20:56:00","FINAL","project_docs","final_complete_release","final-v1.1","PM-Agent","SUCCESS","","Final complete sync with backlog clearance and re-acceptance","execution/m5/M5_评审记录_2026-03-27_第7轮.md","项目状态更新为COMPLETE"
"RL-0045","2026-04-02 10:55:00","REVAMP","dev","revamp_s1_s2_release","revamp-s1s2-v1.0","Frontend-Agent","SUCCESS","","Backend analytics APIs + Frontend Chinese business pages","execution/revamp/S1-S2_执行与验证记录_2026-04-02.md","完成改版S1-S2上线到开发环境，验证通过"
"RL-0046","2026-04-02 11:50:00","REVAMP","dev","revamp_s3_release","revamp-s3-v1.0","Backend-Agent","SUCCESS","","Prediction+Attribution+ModelError report integration","execution/revamp/S3_执行与验证记录_2026-04-02.md","完成S3功能增强与自动化门禁通过"
"RL-0047","2026-04-02 12:35:00","REVAMP","dev","revamp_s4_close_release","revamp-s4-v1.0","PM-Agent","SUCCESS","","Revamp S1-S4 closure and acceptance docs","execution/revamp/改版阶段总结_S1-S4_2026-04-02.md","改版阶段全部收口并进入演示验收"
"RL-0048","2026-04-02 13:30:00","REVAMP","dev","revamp_r2_prediction_map_release","revamp-r2-v1.0","Frontend-Agent","SUCCESS","","Prediction page mini map with domestic provider failover","execution/revamp/R2_预测页地图增强_执行记录_2026-04-02.md","完成R2增强并通过E2E回归"
"RL-0049","2026-04-02 15:40:00","REVAMP","dev","revamp_r4_refresh_geometry_release","revamp-r4-v1.0","Backend-Agent","SUCCESS","","Refresh UX fix and real segment geometry API","execution/revamp/R4_刷新修复与真实路网接入_执行记录_2026-04-02.md","完成R4并支持真实路网几何替换"
"RL-0050","2026-04-02 17:20:00","REVAMP","dev","revamp_r5_geometry_import_release","revamp-r5-v1.0","Backend-Agent","SUCCESS","","Real road geometry import tool and geometry source metadata","execution/revamp/R5_真实路网导入工具与来源可观测_执行记录_2026-04-02.md","完成R5并支持真实路网导入链路"
