"Summary","Issue Type","Description","Priority","Labels","Assignee","Milestone","Due Date","Status"
"[G1-1] 项目章程、目标、里程碑冻结","Task","任务ID: G1-1 | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","High","traffic-system,M1,pm_agent,g1_1","PM-Agent","M1","2026-04-12","Done"
"[G1-2] 需求基线与变更流程建立","Task","任务ID: G1-2 | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","High","traffic-system,M1,pm_agent,g1_2","PM-Agent","M1","2026-04-12","Done"
"[G1-3] 多 Agent 协作机制发布（看板、状态机、日报模板）","Task","任务ID: G1-3 | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","High","traffic-system,M1,pm_agent,g1_3","PM-Agent","M1","2026-04-12","Done"
"[G1-4] 周例会机制与风险台账建立","Task","任务ID: G1-4 | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","High","traffic-system,M1,pm_agent,g1_4","PM-Agent","M1","2026-04-12","Done"
"[D1-1] 数据源接入（轨迹/客流/天气/事件）","Task","任务ID: D1-1 | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,data_agent,d1_1","Data-Agent","M2","2026-05-03","Done"
"[D1-2] 数据治理规则（异常、缺失、重复、延迟）","Task","任务ID: D1-2 | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,data_agent,d1_2","Data-Agent","M2","2026-05-03","Done"
"[D1-3] 地图匹配与时空对齐","Task","任务ID: D1-3 | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,data_agent,d1_3","Data-Agent","M2","2026-05-03","Done"
"[D1-4] 特征工程管道（时间/空间/外部特征）","Task","任务ID: D1-4 | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,data_agent,d1_4","Data-Agent","M2","2026-05-03","Done"
"[D1-5] 数据质量监控与评分看板","Task","任务ID: D1-5 | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,data_agent,d1_5","Data-Agent","M2","2026-05-03","Done"
"[A1-1] 基线模型（ARIMA/XGBoost）训练与评估","Task","任务ID: A1-1 | 责任Agent: Algo-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,algo_agent,a1_1","Algo-Agent","M2","2026-05-03","Done"
"[A1-2] 深度模型（LSTM/GRU）训练与评估","Task","任务ID: A1-2 | 责任Agent: Algo-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,algo_agent,a1_2","Algo-Agent","M3","2026-05-24","Done"
"[A1-3] 时空模型（STGNN）训练与评估","Task","任务ID: A1-3 | 责任Agent: Algo-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,algo_agent,a1_3","Algo-Agent","M3","2026-05-24","Done"
"[A1-4] 拥堵识别规则与参数标定","Task","任务ID: A1-4 | 责任Agent: Algo-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,algo_agent,a1_4","Algo-Agent","M3","2026-05-24","Done"
"[A1-5] 归因分析（SHAP + 规则解释）","Task","任务ID: A1-5 | 责任Agent: Algo-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,algo_agent,a1_5","Algo-Agent","M3","2026-05-24","Done"
"[A1-6] 模型版本管理与回滚策略","Task","任务ID: A1-6 | 责任Agent: Algo-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","Medium","traffic-system,M4,algo_agent,a1_6","Algo-Agent","M4","2026-06-07","Done"
"[B1-1] 核心 API（预测、拥堵、归因、地图图层）","Task","任务ID: B1-1 | 责任Agent: Backend-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,backend_agent,b1_1","Backend-Agent","M2","2026-05-03","Done"
"[B1-2] 认证鉴权（JWT + RBAC）","Task","任务ID: B1-2 | 责任Agent: Backend-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,backend_agent,b1_2","Backend-Agent","M2","2026-05-03","Done"
"[B1-3] 缓存策略（Redis）与异步任务机制","Task","任务ID: B1-3 | 责任Agent: Backend-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,backend_agent,b1_3","Backend-Agent","M3","2026-05-24","Done"
"[B1-4] 调度接口（重训、模型发布、健康检查）","Task","任务ID: B1-4 | 责任Agent: Backend-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","High","traffic-system,M4,backend_agent,b1_4","Backend-Agent","M4","2026-06-07","Done"
"[B1-5] 审计日志与错误码规范","Task","任务ID: B1-5 | 责任Agent: Backend-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","Medium","traffic-system,M4,backend_agent,b1_5","Backend-Agent","M4","2026-06-07","Done"
"[F1-1] 页面骨架（驾驶舱/实时/预测/归因/管理）","Task","任务ID: F1-1 | 责任Agent: Frontend-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,frontend_agent,f1_1","Frontend-Agent","M2","2026-05-03","Done"
"[F1-2] WebGIS 图层（热力、事件、路段）","Task","任务ID: F1-2 | 责任Agent: Frontend-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,frontend_agent,f1_2","Frontend-Agent","M2","2026-05-03","Done"
"[F1-3] ECharts 高级图表（桑基、瀑布、箱线、雷达、回放热力）","Task","任务ID: F1-3 | 责任Agent: Frontend-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,frontend_agent,f1_3","Frontend-Agent","M3","2026-05-24","Done"
"[F1-4] 地图-图表-筛选联动","Task","任务ID: F1-4 | 责任Agent: Frontend-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,frontend_agent,f1_4","Frontend-Agent","M3","2026-05-24","Done"
"[F1-5] 导出能力（图表截图、CSV、简报）","Task","任务ID: F1-5 | 责任Agent: Frontend-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,frontend_agent,f1_5","Frontend-Agent","M3","2026-05-24","Done"
"[T1-1] 测试计划与用例基线","Task","任务ID: T1-1 | 责任Agent: Test-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,test_agent,t1_1","Test-Agent","M3","2026-05-24","Done"
"[T1-2] 接口自动化测试","Task","任务ID: T1-2 | 责任Agent: Test-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,test_agent,t1_2","Test-Agent","M3","2026-05-24","Done"
"[T1-3] 前端 E2E 测试","Task","任务ID: T1-3 | 责任Agent: Test-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,test_agent,t1_3","Test-Agent","M3","2026-05-24","Done"
"[T1-4] 性能压测（接口、地图联动、WebSocket）","Task","任务ID: T1-4 | 责任Agent: Test-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","High","traffic-system,M4,test_agent,t1_4","Test-Agent","M4","2026-06-07","Done"
"[T1-5] 回归测试与质量门禁报告","Task","任务ID: T1-5 | 责任Agent: Test-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","High","traffic-system,M4,test_agent,t1_5","Test-Agent","M4","2026-06-07","Done"
"[O1-1] CI/CD 流水线与制品管理","Task","任务ID: O1-1 | 责任Agent: Ops-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","High","traffic-system,M1,ops_agent,o1_1","Ops-Agent","M1","2026-04-12","Done"
"[O1-2] 环境部署（dev/test/prod）","Task","任务ID: O1-2 | 责任Agent: Ops-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,ops_agent,o1_2","Ops-Agent","M2","2026-05-03","Done"
"[O1-3] 监控告警（系统/应用/模型）","Task","任务ID: O1-3 | 责任Agent: Ops-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","High","traffic-system,M4,ops_agent,o1_3","Ops-Agent","M4","2026-06-07","Done"
"[O1-4] 灰度发布与回滚预案","Task","任务ID: O1-4 | 责任Agent: Ops-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","High","traffic-system,M4,ops_agent,o1_4","Ops-Agent","M4","2026-06-07","Done"
"[O1-5] 运行手册与应急预案","Task","任务ID: O1-5 | 责任Agent: Ops-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","High","traffic-system,M4,ops_agent,o1_5","Ops-Agent","M4","2026-06-07","Done"
"[C1-1] 接口文档（OpenAPI）","Task","任务ID: C1-1 | 责任Agent: Doc-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","Medium","traffic-system,M3,doc_agent,c1_1","Doc-Agent","M3","2026-05-24","Done"
"[C1-2] 数据字典与模型卡","Task","任务ID: C1-2 | 责任Agent: Doc-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","Medium","traffic-system,M3,doc_agent,c1_2","Doc-Agent","M3","2026-05-24","Done"
"[C1-3] 用户手册与运维手册","Task","任务ID: C1-3 | 责任Agent: Doc-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","Medium","traffic-system,M5,doc_agent,c1_3","Doc-Agent","M5","2026-06-21","Done"
"[C1-4] 验收报告与项目复盘","Task","任务ID: C1-4 | 责任Agent: Doc-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","Medium","traffic-system,M5,doc_agent,c1_4","Doc-Agent","M5","2026-06-21","Done"
"项目计划书（里程碑、风险、资源）","Task","任务ID:  | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","High","traffic-system,M1,pm_agent","PM-Agent","M1","2026-04-12","Done"
"需求基线文档与系统设计冻结版","Task","任务ID:  | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","High","traffic-system,M1,pm_agent","PM-Agent","M1","2026-04-12","Done"
"多 Agent 协作规范（任务模板、状态流转、升级机制）","Task","任务ID:  | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","High","traffic-system,M1,pm_agent","PM-Agent","M1","2026-04-12","Done"
"仓库结构与 CI 基线","Task","任务ID:  | 责任Agent: Ops-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","High","traffic-system,M1,ops_agent","Ops-Agent","M1","2026-04-12","Done"
"数据接入与治理管道（首版）","Task","任务ID:  | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,data_agent","Data-Agent","M2","2026-05-03","Done"
"核心数据库表结构（含索引/分区）","Task","任务ID:  | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,data_agent","Data-Agent","M2","2026-05-03","Done"
"基线预测模型报告（ARIMA/XGBoost）","Task","任务ID:  | 责任Agent: Algo-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,algo_agent","Algo-Agent","M2","2026-05-03","Done"
"核心查询 API（预测/拥堵基础接口）","Task","任务ID:  | 责任Agent: Backend-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,backend_agent","Backend-Agent","M2","2026-05-03","Done"
"前端基础页面 + 地图基础图层","Task","任务ID:  | 责任Agent: Frontend-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,frontend_agent","Frontend-Agent","M2","2026-05-03","Done"
"LSTM/STGNN 模型与在线推理服务","Task","任务ID:  | 责任Agent: Algo-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,algo_agent","Algo-Agent","M3","2026-05-24","Done"
"拥堵识别与归因分析 API","Task","任务ID:  | 责任Agent: Backend-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,backend_agent","Backend-Agent","M3","2026-05-24","Done"
"高级图表组件集（至少6类）","Task","任务ID:  | 责任Agent: Frontend-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,frontend_agent","Frontend-Agent","M3","2026-05-24","Done"
"事件联动交互（地图/图表/筛选器）","Task","任务ID:  | 责任Agent: Frontend-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,frontend_agent","Frontend-Agent","M3","2026-05-24","Done"
"自动化测试集（接口+前端E2E）","Task","任务ID:  | 责任Agent: Test-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,test_agent","Test-Agent","M3","2026-05-24","Done"
"性能压测报告与优化清单","Task","任务ID:  | 责任Agent: Test-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","High","traffic-system,M4,test_agent","Test-Agent","M4","2026-06-07","Done"
"安全测试报告（鉴权、审计、限流）","Task","任务ID:  | 责任Agent: Test-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","High","traffic-system,M4,test_agent","Test-Agent","M4","2026-06-07","Done"
"监控告警面板与应急手册","Task","任务ID:  | 责任Agent: Ops-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","High","traffic-system,M4,ops_agent","Ops-Agent","M4","2026-06-07","Done"
"灰度发布与回滚演练记录","Task","任务ID:  | 责任Agent: Ops-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","High","traffic-system,M4,ops_agent","Ops-Agent","M4","2026-06-07","Done"
"UAT 验收报告","Task","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","High","traffic-system,M5,pm_agent","PM-Agent","M5","2026-06-21","Done"
"上线版本与发布说明","Task","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","High","traffic-system,M5,pm_agent","PM-Agent","M5","2026-06-21","Done"
"用户手册、运维手册、培训材料","Task","任务ID:  | 责任Agent: Doc-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","High","traffic-system,M5,doc_agent","Doc-Agent","M5","2026-06-21","Done"
"项目复盘与后续迭代建议","Task","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","High","traffic-system,M5,pm_agent","PM-Agent","M5","2026-06-21","Done"
"功能验收：预测、拥堵识别、归因、可视化、导出全部可用","Story","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","Highest","traffic-system,M5,pm_agent","PM-Agent","M5","2026-06-21","Done"
"性能验收：核心 API P95 < 2 秒，地图交互 < 1 秒（缓存命中）","Story","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","Highest","traffic-system,M5,pm_agent","PM-Agent","M5","2026-06-21","Done"
"质量验收：自动化测试通过率达到门禁要求","Story","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","Highest","traffic-system,M5,pm_agent","PM-Agent","M5","2026-06-21","Done"
"安全验收：鉴权、权限、审计、限流配置完整","Story","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","Highest","traffic-system,M5,pm_agent","PM-Agent","M5","2026-06-21","Done"
"文档验收：设计、接口、部署、运维、验收材料齐全","Story","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","Highest","traffic-system,M5,pm_agent","PM-Agent","M5","2026-06-21","Done"
"项目总交付清单与最终验收签字归档","Task","任务ID: FINAL-ARCHIVE | 责任Agent: PM-Agent | 里程碑: FINAL | 来源: FINAL收口任务板","High","traffic-system,FINAL,pm_agent,final_archive","PM-Agent","FINAL","2026-03-27","Done"
