"Name","Description","Labels","List","Members","Due Date"
"[G1-1] 项目章程、目标、里程碑冻结","任务ID: G1-1 | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","traffic-system,M1,pm_agent,g1_1","M1_Done","PM-Agent","2026-04-12"
"[G1-2] 需求基线与变更流程建立","任务ID: G1-2 | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","traffic-system,M1,pm_agent,g1_2","M1_Done","PM-Agent","2026-04-12"
"[G1-3] 多 Agent 协作机制发布（看板、状态机、日报模板）","任务ID: G1-3 | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","traffic-system,M1,pm_agent,g1_3","M1_Done","PM-Agent","2026-04-12"
"[G1-4] 周例会机制与风险台账建立","任务ID: G1-4 | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","traffic-system,M1,pm_agent,g1_4","M1_Done","PM-Agent","2026-04-12"
"[D1-1] 数据源接入（轨迹/客流/天气/事件）","任务ID: D1-1 | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","traffic-system,M2,data_agent,d1_1","M2_Done","Data-Agent","2026-05-03"
"[D1-2] 数据治理规则（异常、缺失、重复、延迟）","任务ID: D1-2 | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","traffic-system,M2,data_agent,d1_2","M2_Done","Data-Agent","2026-05-03"
"[D1-3] 地图匹配与时空对齐","任务ID: D1-3 | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","traffic-system,M2,data_agent,d1_3","M2_Done","Data-Agent","2026-05-03"
"[D1-4] 特征工程管道（时间/空间/外部特征）","任务ID: D1-4 | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","traffic-system,M2,data_agent,d1_4","M2_Done","Data-Agent","2026-05-03"
"[D1-5] 数据质量监控与评分看板","任务ID: D1-5 | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","traffic-system,M2,data_agent,d1_5","M2_Done","Data-Agent","2026-05-03"
"[A1-1] 基线模型（ARIMA/XGBoost）训练与评估","任务ID: A1-1 | 责任Agent: Algo-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","traffic-system,M2,algo_agent,a1_1","M2_Done","Algo-Agent","2026-05-03"
"[A1-2] 深度模型（LSTM/GRU）训练与评估","任务ID: A1-2 | 责任Agent: Algo-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,algo_agent,a1_2","M3_Done","Algo-Agent","2026-05-24"
"[A1-3] 时空模型（STGNN）训练与评估","任务ID: A1-3 | 责任Agent: Algo-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,algo_agent,a1_3","M3_Done","Algo-Agent","2026-05-24"
"[A1-4] 拥堵识别规则与参数标定","任务ID: A1-4 | 责任Agent: Algo-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,algo_agent,a1_4","M3_Done","Algo-Agent","2026-05-24"
"[A1-5] 归因分析（SHAP + 规则解释）","任务ID: A1-5 | 责任Agent: Algo-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,algo_agent,a1_5","M3_Done","Algo-Agent","2026-05-24"
"[A1-6] 模型版本管理与回滚策略","任务ID: A1-6 | 责任Agent: Algo-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","traffic-system,M4,algo_agent,a1_6","M4_Done","Algo-Agent","2026-06-07"
"[B1-1] 核心 API（预测、拥堵、归因、地图图层）","任务ID: B1-1 | 责任Agent: Backend-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","traffic-system,M2,backend_agent,b1_1","M2_Done","Backend-Agent","2026-05-03"
"[B1-2] 认证鉴权（JWT + RBAC）","任务ID: B1-2 | 责任Agent: Backend-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","traffic-system,M2,backend_agent,b1_2","M2_Done","Backend-Agent","2026-05-03"
"[B1-3] 缓存策略（Redis）与异步任务机制","任务ID: B1-3 | 责任Agent: Backend-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,backend_agent,b1_3","M3_Done","Backend-Agent","2026-05-24"
"[B1-4] 调度接口（重训、模型发布、健康检查）","任务ID: B1-4 | 责任Agent: Backend-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","traffic-system,M4,backend_agent,b1_4","M4_Done","Backend-Agent","2026-06-07"
"[B1-5] 审计日志与错误码规范","任务ID: B1-5 | 责任Agent: Backend-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","traffic-system,M4,backend_agent,b1_5","M4_Done","Backend-Agent","2026-06-07"
"[F1-1] 页面骨架（驾驶舱/实时/预测/归因/管理）","任务ID: F1-1 | 责任Agent: Frontend-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","traffic-system,M2,frontend_agent,f1_1","M2_Done","Frontend-Agent","2026-05-03"
"[F1-2] WebGIS 图层（热力、事件、路段）","任务ID: F1-2 | 责任Agent: Frontend-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","traffic-system,M2,frontend_agent,f1_2","M2_Done","Frontend-Agent","2026-05-03"
"[F1-3] ECharts 高级图表（桑基、瀑布、箱线、雷达、回放热力）","任务ID: F1-3 | 责任Agent: Frontend-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,frontend_agent,f1_3","M3_Done","Frontend-Agent","2026-05-24"
"[F1-4] 地图-图表-筛选联动","任务ID: F1-4 | 责任Agent: Frontend-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,frontend_agent,f1_4","M3_Done","Frontend-Agent","2026-05-24"
"[F1-5] 导出能力（图表截图、CSV、简报）","任务ID: F1-5 | 责任Agent: Frontend-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,frontend_agent,f1_5","M3_Done","Frontend-Agent","2026-05-24"
"[T1-1] 测试计划与用例基线","任务ID: T1-1 | 责任Agent: Test-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,test_agent,t1_1","M3_Done","Test-Agent","2026-05-24"
"[T1-2] 接口自动化测试","任务ID: T1-2 | 责任Agent: Test-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,test_agent,t1_2","M3_Done","Test-Agent","2026-05-24"
"[T1-3] 前端 E2E 测试","任务ID: T1-3 | 责任Agent: Test-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,test_agent,t1_3","M3_Done","Test-Agent","2026-05-24"
"[T1-4] 性能压测（接口、地图联动、WebSocket）","任务ID: T1-4 | 责任Agent: Test-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","traffic-system,M4,test_agent,t1_4","M4_Done","Test-Agent","2026-06-07"
"[T1-5] 回归测试与质量门禁报告","任务ID: T1-5 | 责任Agent: Test-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","traffic-system,M4,test_agent,t1_5","M4_Done","Test-Agent","2026-06-07"
"[O1-1] CI/CD 流水线与制品管理","任务ID: O1-1 | 责任Agent: Ops-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","traffic-system,M1,ops_agent,o1_1","M1_Done","Ops-Agent","2026-04-12"
"[O1-2] 环境部署（dev/test/prod）","任务ID: O1-2 | 责任Agent: Ops-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","traffic-system,M2,ops_agent,o1_2","M2_Done","Ops-Agent","2026-05-03"
"[O1-3] 监控告警（系统/应用/模型）","任务ID: O1-3 | 责任Agent: Ops-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","traffic-system,M4,ops_agent,o1_3","M4_Done","Ops-Agent","2026-06-07"
"[O1-4] 灰度发布与回滚预案","任务ID: O1-4 | 责任Agent: Ops-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","traffic-system,M4,ops_agent,o1_4","M4_Done","Ops-Agent","2026-06-07"
"[O1-5] 运行手册与应急预案","任务ID: O1-5 | 责任Agent: Ops-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","traffic-system,M4,ops_agent,o1_5","M4_Done","Ops-Agent","2026-06-07"
"[C1-1] 接口文档（OpenAPI）","任务ID: C1-1 | 责任Agent: Doc-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,doc_agent,c1_1","M3_Done","Doc-Agent","2026-05-24"
"[C1-2] 数据字典与模型卡","任务ID: C1-2 | 责任Agent: Doc-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,doc_agent,c1_2","M3_Done","Doc-Agent","2026-05-24"
"[C1-3] 用户手册与运维手册","任务ID: C1-3 | 责任Agent: Doc-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,doc_agent,c1_3","M5_Done","Doc-Agent","2026-06-21"
"[C1-4] 验收报告与项目复盘","任务ID: C1-4 | 责任Agent: Doc-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,doc_agent,c1_4","M5_Done","Doc-Agent","2026-06-21"
"项目计划书（里程碑、风险、资源）","任务ID:  | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","traffic-system,M1,pm_agent","M1_Done","PM-Agent","2026-04-12"
"需求基线文档与系统设计冻结版","任务ID:  | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","traffic-system,M1,pm_agent","M1_Done","PM-Agent","2026-04-12"
"多 Agent 协作规范（任务模板、状态流转、升级机制）","任务ID:  | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","traffic-system,M1,pm_agent","M1_Done","PM-Agent","2026-04-12"
"仓库结构与 CI 基线","任务ID:  | 责任Agent: Ops-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","traffic-system,M1,ops_agent","M1_Done","Ops-Agent","2026-04-12"
"数据接入与治理管道（首版）","任务ID:  | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","traffic-system,M2,data_agent","M2_Done","Data-Agent","2026-05-03"
"核心数据库表结构（含索引/分区）","任务ID:  | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","traffic-system,M2,data_agent","M2_Done","Data-Agent","2026-05-03"
"基线预测模型报告（ARIMA/XGBoost）","任务ID:  | 责任Agent: Algo-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","traffic-system,M2,algo_agent","M2_Done","Algo-Agent","2026-05-03"
"核心查询 API（预测/拥堵基础接口）","任务ID:  | 责任Agent: Backend-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","traffic-system,M2,backend_agent","M2_Done","Backend-Agent","2026-05-03"
"前端基础页面 + 地图基础图层","任务ID:  | 责任Agent: Frontend-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","traffic-system,M2,frontend_agent","M2_Done","Frontend-Agent","2026-05-03"
"LSTM/STGNN 模型与在线推理服务","任务ID:  | 责任Agent: Algo-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,algo_agent","M3_Done","Algo-Agent","2026-05-24"
"拥堵识别与归因分析 API","任务ID:  | 责任Agent: Backend-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,backend_agent","M3_Done","Backend-Agent","2026-05-24"
"高级图表组件集（至少6类）","任务ID:  | 责任Agent: Frontend-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,frontend_agent","M3_Done","Frontend-Agent","2026-05-24"
"事件联动交互（地图/图表/筛选器）","任务ID:  | 责任Agent: Frontend-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,frontend_agent","M3_Done","Frontend-Agent","2026-05-24"
"自动化测试集（接口+前端E2E）","任务ID:  | 责任Agent: Test-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,test_agent","M3_Done","Test-Agent","2026-05-24"
"性能压测报告与优化清单","任务ID:  | 责任Agent: Test-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","traffic-system,M4,test_agent","M4_Done","Test-Agent","2026-06-07"
"安全测试报告（鉴权、审计、限流）","任务ID:  | 责任Agent: Test-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","traffic-system,M4,test_agent","M4_Done","Test-Agent","2026-06-07"
"监控告警面板与应急手册","任务ID:  | 责任Agent: Ops-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","traffic-system,M4,ops_agent","M4_Done","Ops-Agent","2026-06-07"
"灰度发布与回滚演练记录","任务ID:  | 责任Agent: Ops-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","traffic-system,M4,ops_agent","M4_Done","Ops-Agent","2026-06-07"
"UAT 验收报告","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,pm_agent","M5_Done","PM-Agent","2026-06-21"
"上线版本与发布说明","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,pm_agent","M5_Done","PM-Agent","2026-06-21"
"用户手册、运维手册、培训材料","任务ID:  | 责任Agent: Doc-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,doc_agent","M5_Done","Doc-Agent","2026-06-21"
"项目复盘与后续迭代建议","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,pm_agent","M5_Done","PM-Agent","2026-06-21"
"功能验收：预测、拥堵识别、归因、可视化、导出全部可用","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,pm_agent","M5_Done","PM-Agent","2026-06-21"
"性能验收：核心 API P95 < 2 秒，地图交互 < 1 秒（缓存命中）","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,pm_agent","M5_Done","PM-Agent","2026-06-21"
"质量验收：自动化测试通过率达到门禁要求","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,pm_agent","M5_Done","PM-Agent","2026-06-21"
"安全验收：鉴权、权限、审计、限流配置完整","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,pm_agent","M5_Done","PM-Agent","2026-06-21"
"文档验收：设计、接口、部署、运维、验收材料齐全","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,pm_agent","M5_Done","PM-Agent","2026-06-21"
"项目总交付清单与最终验收签字归档","任务ID: FINAL-ARCHIVE | 责任Agent: PM-Agent | 里程碑: FINAL | 来源: FINAL收口任务板","traffic-system,FINAL,pm_agent,final_archive","FINAL_Done","PM-Agent","2026-03-27"
